0.957,-0.786,1
-0.0107,-0.96,-1
1.21,0.0512,-1
0.105,-1.67,-1
0.786,0.859,-1
-1.08,0.356,1
0.0909,-1.39,-1
-1.34,0.805,-1
-0.647,1.08,-1
1.17,-1.4,1
-0.811,-1.35,-1
-0.961,-0.102,1
-0.968,-0.226,1
-0.322,0.535,1
-1.26,-0.515,1
0.62,-0.986,1
-2.32,0.0861,-1
1.21,1.31,1
0.196,1.08,-1
1.45,1.33,1
0.137,-0.247,1
-0.974,-1.43,-1
-0.335,-1.69,-1
-0.0999,1.97,1
0.272,0.813,-1
0.56,1.18,-1
-0.0527,-0.746,-1
-0.188,-0.998,-1
-0.369,0.692,1
-0.226,-1.06,-1
0.458,-0.709,1
-1.26,-0.912,-1
-1.33,-0.392,1
-0.621,1.52,-1
-0.753,1.1,-1
-0.435,-1.08,-1
0.328,1.28,-1
0.227,1.71,1
-0.715,0.0859,1
0.81,1.93,-1
0.364,1.98,1
0.624,1.1,-1
0.922,0.93,-1
-0.416,-0.941,-1
-1.37,0.968,-1
0.269,1.62,1
0.353,1.58,-1
0.11,0.553,1
1.49,0.385,-1
0.571,-1.53,-1
0.171,1.59,1
0.409,-0.0572,1
1.93,-0.842,-1
0.907,0.191,-1
0.0413,0.345,1
0.484,-1.3,-1
-0.0305,-1.09,-1
1,-0.0897,-1
1.09,0.299,-1
-0.543,-0.0204,1
0.659,0.913,-1
-0.542,-0.739,-1
-1.02,1.53,-1
-1.63,0.293,-1
1.49,0.627,-1
-0.583,-1.05,-1
-0.807,1.12,-1
-0.683,1.38,-1
0.0734,-0.162,1
0.388,1.64,-1
0.874,1.79,-1
0.584,0.679,-1
1.42,0.374,-1
-0.779,0.676,1
0.678,0.335,-1
0.204,-1.06,-1
1.43,0.498,-1
-0.779,-1.2,-1
-1.3,0.577,-1
1.03,0.0331,-1
-0.532,-1.17,-1
0.119,-1.28,-1
1.53,-1.05,1
-0.481,-0.904,-1
0.858,0.399,-1
0.126,0.819,-1
-0.88,-1.27,-1
0.145,-0.626,1
0.534,1.86,1
2.03,1.1,1
-0.546,0.442,1
1.42,1.8,1
1.41,-2.09,1
-0.566,-0.563,1
-0.973,0.495,1
0.932,1.43,1
0.472,1.37,-1
